id,university,country,city,continent,latitude,longitude,location_source
59,Estonian Business School,Estonia,Tallinn,Europe,59.432144,24.756622,CBS MoveON snapshot 2026-09-21
60,University of the Faroe Islands,Faroe Islands,Tórshavn,Europe,61.892635,-6.911806,CBS MoveON snapshot 2026-09-21
61,Hanken School of Economics,Finland,Helsinki,Europe,60.169879,24.938408,CBS MoveON snapshot 2026-09-21
62,Aalto University,Finland,Espoo,Europe,60.205284,24.65405,CBS MoveON snapshot 2026-09-21
63,Audencia Business School,France,Nantes,Europe,47.246879,-1.55372,CBS MoveON snapshot 2026-09-21
64,Ecole de Management de Lyon,France,Lyon,Europe,45.786587,4.764917,CBS MoveON snapshot 2026-09-21
65,EDHEC Business School,France,Lille,Europe,50.632778,3.045227,CBS MoveON snapshot 2026-09-21
66,EDHEC Business School,France,Nice,Europe,50.632778,3.045227,CBS MoveON snapshot 2026-09-21
67,ESSEC Business School,France,Cergy,Europe,49.032997,2.078922,CBS MoveON snapshot 2026-09-21
68,Grenoble Ecole de Management,France,Grenoble,Europe,45.190264,5.713202,CBS MoveON snapshot 2026-09-21
69,HEC Paris,France,Jouy-en-Josas,Europe,48.758113,2.169929,CBS MoveON snapshot 2026-09-21
70,IÉSEG School of Management,France,Lille / Paris,Europe,50.632777,3.046759,CBS MoveON snapshot 2026-09-21
71,INSEEC Grande Ecole,France,Paris,Europe,,,
72,ISC Paris School of Management,France,Paris,Europe,48.893043,2.302242,CBS MoveON snapshot 2026-09-21
73,Kedge Business School,France,Bordeaux,Europe,43.236942,5.437471,CBS MoveON snapshot 2026-09-21
74,Kedge Business School,France,Marseille,Europe,43.236942,5.437471,CBS MoveON snapshot 2026-09-21
75,Paris School of Business,France,Paris,Europe,48.862373,2.377798,CBS MoveON snapshot 2026-09-21
76,Rennes School of Business,France,Rennes,Europe,48.12812,-1.692644,CBS MoveON snapshot 2026-09-21
77,Sciences Po (Institut d'Etudes Politiques de Paris),France,Paris,Europe,48.8542,2.3283,CBS MoveON snapshot 2026-09-21
78,Sciences Po (Institut d'Etudes Politiques de Paris),France,Regional campuses,Europe,48.8542,2.3283,CBS MoveON snapshot 2026-09-21
79,Toulouse Business School,France,Toulouse,Europe,43.609674,1.432839,CBS MoveON snapshot 2026-09-21
80,Université Catholique de Lyon,France,Lyon,Europe,,,
81,Université de Strasbourg,France,Strasbourg,Europe,48.580077,7.766799,CBS MoveON snapshot 2026-09-21
82,Université Paris Dauphine,France,Paris,Europe,48.870784,2.274384,CBS MoveON snapshot 2026-09-21
83,Université Toulouse Capitole,France,Toulouse,Europe,43.606872,1.43716,CBS MoveON snapshot 2026-09-21
84,Frankfurt School of Finance and Management,Germany,Frankfurt,Europe,50.109412,8.697082,CBS MoveON snapshot 2026-09-21
85,Freie Universität Berlin,Germany,Berlin,Europe,52.42634,13.356084,CBS MoveON snapshot 2026-09-21
86,Humboldt-Universität zu Berlin,Germany,Berlin,Europe,52.517487,13.393634,CBS MoveON snapshot 2026-09-21
87,Johann Wolfgang Goethe Universität,Germany,Frankfurt,Europe,50.127068,8.667764,CBS MoveON snapshot 2026-09-21
88,Ludwig-Maximilians-Universität München,Germany,Munich,Europe,48.150756,11.580544,CBS MoveON snapshot 2026-09-21
