university_id,university,city,country,sep_c,oct_c,nov_c,dec_c,sep_dec_avg_c,period,source_url,refreshed_at
65,EDHEC Business School,Lille,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
66,EDHEC Business School,Nice,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
67,ESSEC Business School,Cergy,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
68,Grenoble Ecole de Management,Grenoble,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
69,HEC Paris,Jouy-en-Josas,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
70,IÉSEG School of Management,Lille / Paris,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
71,INSEEC Grande Ecole,Paris,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
72,ISC Paris School of Management,Paris,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
73,Kedge Business School,Bordeaux,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
74,Kedge Business School,Marseille,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
75,Paris School of Business,Paris,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
76,Rennes School of Business,Rennes,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
77,Sciences Po (Institut d'Etudes Politiques de Paris),Paris,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
78,Sciences Po (Institut d'Etudes Politiques de Paris),Regional campuses,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
79,Toulouse Business School,Toulouse,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
80,Université Catholique de Lyon,Lyon,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
81,Université de Strasbourg,Strasbourg,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
82,Université Paris Dauphine,Paris,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
83,Université Toulouse Capitole,Toulouse,France,,,,,,1991-2020,https://power.larc.nasa.gov/,
84,Frankfurt School of Finance and Management,Frankfurt,Germany,,,,,,1991-2020,https://power.larc.nasa.gov/,
85,Freie Universität Berlin,Berlin,Germany,,,,,,1991-2020,https://power.larc.nasa.gov/,
86,Humboldt-Universität zu Berlin,Berlin,Germany,,,,,,1991-2020,https://power.larc.nasa.gov/,
87,Johann Wolfgang Goethe Universität,Frankfurt,Germany,,,,,,1991-2020,https://power.larc.nasa.gov/,
88,Ludwig-Maximilians-Universität München,Munich,Germany,,,,,,1991-2020,https://power.larc.nasa.gov/,
89,Technische Universität München,Munich,Germany,,,,,,1991-2020,https://power.larc.nasa.gov/,
90,Universität Hamburg,Hamburg,Germany,,,,,,1991-2020,https://power.larc.nasa.gov/,
91,Universität Mannheim,Mannheim,Germany,,,,,,1991-2020,https://power.larc.nasa.gov/,
92,Universität zu Köln,Cologne,Germany,,,,,,1991-2020,https://power.larc.nasa.gov/,
93,Universität Münster,Münster,Germany,,,,,,1991-2020,https://power.larc.nasa.gov/,
94,WHU,Vallendar,Germany,,,,,,1991-2020,https://power.larc.nasa.gov/,
