university_id,university,rank,matched_institution,match_method,status,source_url,ranking_year,official_region,official_slug
45,Universidad de Chile,501-600,University of Chile,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Chile,university-of-chile
46,"Universidad del Desarrollo (UDD), Campus Santiago",,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
47,Fudan University,41,Fudan University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,China,fudan-university
48,Peking University,22,Peking University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,China,peking-university
49,Shanghai Jiao Tong University,27,Shanghai Jiao Tong University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,China,shanghai-jiao-tong-university
50,Shanghai University of Finance and Economics,901-1000,Shanghai University of Finance and Economics,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,China,shanghai-university-of-finance-and-economics
51,"The Chinese University of Hong Kong, Campus Shenzhen (CUHKSZ)",401-500,"The Chinese University of Hong Kong, Shenzhen",official_name_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,China,the-chinese-university-of-hong-kong-shenzhen
52,Tongji University,101-150,Tongji University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,China,tongji-university
53,Tsinghua University,18,Tsinghua University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,China,tsinghua-university
54,University of International Business and Economics (UIBE),,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
55,"University of Nottingham Ningbo, China",101-150,University of Nottingham,verified_parent_campus_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,United Kingdom,university-of-nottingham
56,Universidad De Los Andes,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
57,Universidad EAFIT,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
58,American University in Cairo,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
59,Estonian Business School,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
60,University of the Faroe Islands,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
61,Hanken School of Economics,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
62,Aalto University,401-500,Aalto University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Finland,aalto-university
63,Audencia Business School,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
64,Ecole de Management de Lyon,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
65,EDHEC Business School,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
66,EDHEC Business School,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
67,ESSEC Business School,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
68,Grenoble Ecole de Management,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
69,HEC Paris,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
70,IÉSEG School of Management,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
71,INSEEC Grande Ecole,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
72,ISC Paris School of Management,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
73,Kedge Business School,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
74,Kedge Business School,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
75,Paris School of Business,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
76,Rennes School of Business,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
77,Sciences Po (Institut d'Etudes Politiques de Paris),,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
78,Sciences Po (Institut d'Etudes Politiques de Paris),,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
79,Toulouse Business School,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
80,Université Catholique de Lyon,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
81,Université de Strasbourg,101-150,University of Strasbourg,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,France,university-of-strasbourg
82,Université Paris Dauphine,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
83,Université Toulouse Capitole,401-500,Toulouse Capitole University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,France,university-of-toulouse-1
84,Frankfurt School of Finance and Management,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
85,Freie Universität Berlin,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
86,Humboldt-Universität zu Berlin,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
87,Johann Wolfgang Goethe Universität,151-200,Goethe University Frankfurt,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Germany,goethe-university-frankfurt
88,Ludwig-Maximilians-Universität München,49,LMU Munich,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Germany,university-of-munich
89,Technische Universität München,45,Technical University of Munich,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Germany,technical-university-of-munich
90,Universität Hamburg,201-300,University of Hamburg,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Germany,university-of-hamburg
91,Universität Mannheim,701-800,University of Mannheim,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Germany,university-of-mannheim
92,Universität zu Köln,151-200,University of Cologne,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Germany,university-of-cologne
93,Universität Münster,151-200,University of Muenster,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Germany,university-of-muenster
94,WHU,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
95,Zeppelin University,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
96,Athens University of Economics & Business - AUEB,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
97,Greenland University,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
98,City University of Hong Kong (CityU),95,City University of Hong Kong,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,China-Hong Kong,city-university-of-hong-kong
99,Hong Kong Baptist University,601-700,Hong Kong Baptist University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,China-Hong Kong,hong-kong-baptist-university
100,The Chinese University of Hong Kong (CUHK),101-150,The Chinese University of Hong Kong,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,China-Hong Kong,the-chinese-university-of-hong-kong
101,The Hong Kong Polytechnic University,101-150,The Hong Kong Polytechnic University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,China-Hong Kong,the-hong-kong-polytechnic-university
102,The Hong Kong University of Science and Technology (HKUST),201-300,The Hong Kong University of Science and Technology,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,China-Hong Kong,the-hong-kong-university-of-science-and-technology
103,The University of Hong Kong (HKU),62,The University of Hong Kong,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,China-Hong Kong,the-university-of-hong-kong
104,Reykjavik University,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
105,University of Iceland,601-700,University of Iceland,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Iceland,university-of-iceland
106,Universitas Gadjah Mada,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
107,University College Cork,401-500,University College Cork,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Ireland,university-college-cork
108,University College Dublin,301-400,University College Dublin,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Ireland,university-college-dublin
109,University of Limerick,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
110,Reichman University (IDC Herzliya),,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
111,Libera Università Internazionale degli Studi Sociali (LUISS) 'Guido Carli',,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
112,Università Ca' Foscari Venezia,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
113,Università Commerciale Luigi Bocconi,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
114,Università degli Studi di Bologna 'Alma Mater Studiorum',201-300,University of Bologna,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Italy,university-of-bologna
115,Università degli Studi di Bologna 'Alma Mater Studiorum',201-300,University of Bologna,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Italy,university-of-bologna
116,Università degli Studi di Torino,201-300,University of Turin,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Italy,university-of-turin
117,Hitotsubashi University,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
118,Keio University,301-400,Keio University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Japan,keio-university
119,NUCB Undergraduate School,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
120,Rikkyo University,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
121,Ritsumeikan Asia Pacific University,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
122,Ritsumeikan University,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
123,Waseda University,601-700,Waseda University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Japan,waseda-university
124,Vilnius University,401-500,Vilnius University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Lithuania,vilnius-university
125,Monash University Malaysia,76,Monash University,verified_parent_campus_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Australia,monash-university
126,University of Malaya,601-700,University of Malaya,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Malaysia,university-of-malaya
127,Instituto Tecnológico Autónomo de México (ITAM),,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
128,"Tec de Monterrey, Campus Guadalajara",,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
129,"Tec de Monterrey, Campus Mexico City",,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
